character_name,star_rarity,region,vision,arkhe,weapon_type,release_date,model,constellation,birthday,special_dish,affiliation,limited,voice_en,voice_cn,voice_jp,voice_kr,ascension_specialty,ascension_boss_material,ascension_material_0-2,ascension_material_2-4,ascension_material_4-6,ascension_gem_0-1,ascension_gem_1-3,ascension_gem_3-5,ascension_gem_5-6,talent_material_1-2,talent_material_2-6,talent_material_6-10,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,ascension_special_stat,special_0,special_1,special_2,special_3,special_4,special_5,special_6
Candace,4,Sumeru,Hydro,,Polearm,2022-09-28,Tall Female,Sagitta Scutum,03-May,Utmost Care,Aaru Village,FALSE,Shara Kirby,Zhang Qi (张琦),Yuzuki Ryoka (柚木 涼香),Jeon Yeongsu (전영수),Redcrest,Light Guiding Tetrahedron,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Tears of the Calamitous God,10874,212,682,10121,197,635,9637,188,604,8884,173,557,8400,164,527,7648,149,480,7164,139,449,6411,125,402,5766,112,361,5012,97,314,4528,88,284,3023,59,189,2342,45,147,911,17,57,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Charlotte,4,Fontaine,Cryo,Pneuma,Catalyst,2023-11-08,Medium Female,Hualina Veritas,10-Apr,Exclusive Scoop: Gourmet Column,The Steambird,FALSE,Maya Aoki Tuttle,Ruan Congqing (阮从青),Waki Azumi (和氣あず未),Shin On-yu (신온유),Beryl Conch,"""Tourbillon Device""",Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Lightless Silk String,10766,173,546,10020,161,508,9541,153,483,8795,141,446,8316,133,421,7571,121,384,7092,114,359,6347,102,321,5708,91,289,4962,79,251,4483,72,227,2993,48,151,2318,37,117,902,14,45,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Chevreuse,4,Fontaine,Pyro,Ousia,Polearm,2024-01-09,Medium Female,Sclopetum Ensiferum,10-Jan,Sin: The Kind that Doesn't Need to be Dealt With,Special Security and Surveillance Patrol,FALSE,Erica Lindbeck,Pan Danni (潘丹妮),Shimoji Shino (下地紫野),Chae Min-ji (채민지),Lumidouce Bell,Fontemer Unihorn,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Lightless Eye of the Maelstrom,11962,193,605,11134,180,563,10602,171,536,9773,158,494,9241,149,467,8413,136,425,7881,127,398,7052,114,357,6343,102,321,5514,89,279,4982,80,252,3326,54,168,2577,42,130,1003,16,51,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Chiori,5,Inazuma,Geo,,Sword,2024-03-13,Medium Female,Cisoria,17-Aug,"""Fashion Show""","Court of Fontaine (on profile), Chioriya Boutique",TRUE,Brittany Lauda,Chen Yang (陈阳),Taketatsu Ayana (竹達彩奈),Lee Da-eun (이다은),Dendrobium,Artificed Spare Clockwork Component — Coppelia,Spectral Husk,Spectral Heart,Spectral Nucleus,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Lightless Silk String,11438,323,953,10634,300,886,10091,285,841,9293,262,774,8751,247,729,7962,225,663,7420,209,618,6638,187,553,5915,167,493,5141,145,428,4598,130,383,3073,87,256,2310,65,192,890,25,74,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Chongyun,4,Liyue,Cryo,,Claymore,2020-09-28,Medium Male,Nubis Caesor,07-Sep,Cold Noodles with Mountain Delicacies,Tianheng Thaumaturges,FALSE,Beau Bridgland,kinsen,Soma Saito (斉藤壮馬),Yang Jeong-hwa (양정화),Cor Lapis,Hoarfrost Core,Damaged Mask,Stained Mask,Ominous Mask,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Dvalin's Sigh,10984,223,648,10223,208,603,9734,198,575,8974,182,530,8485,172,501,7725,157,456,7236,147,427,6475,131,382,5824,118,344,5063,103,299,4574,93,270,3054,62,180,2366,48,140,1003,19,54,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Clorinde,5,Fontaine,Electro,Ousia,Sword,2024-06-05,Tall Female,Rapperia,20-Sep,"""Tagged and Bagged""",Trial Court,TRUE,Crystal Lee,Zhao Hanyu (赵涵雨),Ishikawa Yui (石川由依),Shin Na-ri (신나리),Lumitoile,Fontemer Unihorn,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Everamber,12956,337,784,12045,314,729,11431,298,692,10527,274,637,9913,258,600,9019,235,546,8405,219,509,7519,196,455,6700,174,405,5823,152,352,5209,136,315,3481,91,211,2616,68,158,1009,26,61,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Collei,4,Sumeru,Dendro,,Bow,2022-08-24,Medium Female,Leptailurus Cervarius,08-May,Yearning,"Gandharva Ville (on profile), Forest Rangers",FALSE,Christina Costello,Qin Wenjing (秦文静),Maekawa Ryoko (前川 涼子),Bang Siu (방시우),Rukkhashava Mushrooms,Majestic Hooked Beak,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Tears of the Calamitous God,9787,199,600,9109,185,559,8674,176,532,7996,163,490,7560,154,463,6883,140,422,6448,131,395,5770,117,354,5189,105,318,4511,92,276,4076,83,250,2721,55,166,2108,43,129,820,16,50,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Cyno,5,Sumeru,Electro,,Polearm,2022-09-28,Medium Male,Lupus Aureus,23-Jun,Duel Soul,"Temple of Silence (on profile), Matra, Spantamad (graduate)",TRUE,Alejandro Saab,Li Qingyang (李轻扬),Irino Miyu (入野 自由),Lee Woo-ri (이우리),Scarab,Thunderclap Fruitcore,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Mudra of the Malefic General,12490,318,859,11612,295,798,11020,280,758,10149,258,698,9556,243,657,8695,221,598,8102,206,557,7249,184,498,6459,164,444,5614,142,386,5021,127,345,3356,85,230,2522,64,173,972,21,66,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Dehya,5,Sumeru,Pyro,,Claymore,2023-03-01,Tall Female,Mantichora,07-Apr,Goldflame Tajine,"The Eremites (on profile), Blazing Beasts, Corps of Thirty (formerly)",FALSE,Amber May,Chen Yu (陈雨),Fukuhara Ayaka (福原綾香),Kim Hyeon-sim (김현심),Sand Grease Pupa,Light Guiding Tetrahedron,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Puppet Strings,15674,265,627,14572,246,583,13829,234,553,12736,215,510,11992,203,480,10911,184,437,10168,172,407,9096,154,364,8105,137,324,7045,119,282,6301,106,252,4211,71,168,3165,53,126,1220,20,48,HP,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Diluc,5,Mondstadt,Pyro,,Claymore,2020-09-28,Tall Male,Noctua,30-Apr,"""Once Upon a Time in Mondstadt""","Dawn Winery (on profile), Unnamed intelligence organization, Knights of Favonius (formerly)",FALSE,Sean Chiplock,Yang Ma (马洋),Kensho Ono (小野賢章),Choi Seung-hoon (최승훈),Small Lamp Grass,Everflame Seed,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume,12981,335,784,12068,311,729,11453,295,692,10547,272,637,9932,256,600,9036,233,546,8421,217,509,7533,194,455,6712,173,405,5834,151,352,5219,135,315,3488,90,211,2621,68,158,1011,26,61,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Diona,4,Mondstadt,Cryo,,Bow,2020-11-11,Short Female,Feles,18-Jan,Definitely Not Bar Food!,"The Cat's Tail (on profile), Kätzlein Bloodline",FALSE,Dina Sherman,Nuoya (诺亚),Shiori Izawa (井澤詩織),Woo Jeong-sin (우정신),Calla Lily,Hoarfrost Core,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,9570,212,601,8907,198,559,8481,188,532,7818,174,491,7393,164,464,6731,149,422,6305,140,396,5642,125,354,5074,113,318,4411,98,277,3985,88,250,2661,59,167,2061,46,129,802,18,50,Cryo DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Dori,4,Sumeru,Electro,,Claymore,2022-09-09,Short Female,Magicae Lucerna,21-Dec,Show Me the Mora,The Palace of Alcazarzaray,FALSE,Anjali Kunapaneni,Wang Xiaotong (王晓彤),Kaneda Tomoko (金田朋子),Lee Myeong-ho (이명호),Kalpalata Lotus,Thunderclap Fruitcore,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Bloodjade Branch,12397,223,723,11538,207,673,10987,197,641,10128,182,591,9576,172,558,8719,156,508,8167,146,476,7308,131,426,6573,118,383,5714,102,333,5162,92,301,3446,62,201,2670,48,155,1039,18,60,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Emilie,5,Fontaine,Dendro,Pneuma,Polearm,2024-08-06,Medium Female,Pomum de Ambra,22-Sep,A Fragrant Feast of Flavors,"Court of Fontaine (on profile), Maison Gardiennage (contractor)",TRUE,Amber Aviles,Muzi Cheng (木子橙),Hikasa Yoko (日笠陽子),Kwon Da-ye (권다예),Lakelight Lily,Fragment of a Golden Melody,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Silken Feather,13568,335,730,12615,311,679,11971,295,644,11025,272,593,10381,256,559,9445,233,508,8802,217,474,7874,194,424,7016,173,378,6099,150,328,5455,135,294,3646,90,196,2740,68,147,1056,26,57,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Eula,5,Mondstadt,Cryo,,Claymore,2021-05-18,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,"Knights of Favonius (on profile), Lawrence Clan",TRUE,Suzie Yeung,Ziyin (子音),Rina Sato (佐藤利奈),Kim Hyeon-ji (김현지),Dandelion Seed,Crystalline Bloom,Damaged Mask,Stained Mask,Ominous Mask,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dragon Lord's Crown,13226,342,751,12296,318,698,11669,302,662,10746,278,610,10119,262,574,9207,238,523,8579,222,487,7675,199,436,6839,177,388,5944,154,337,5317,138,302,3554,92,202,2671,69,152,1030,27,58,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
